"Blockno","Pause","RunBlock","Session","Site","TRIAL_VALID","USE_FACELANDMARKS","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","closing_eyes_invalid","color_backend","compensation","condTrig","coordinates","correct","correct_instructions","correct_response","count_CONDITIONS","count_CONFIG","count_LongBreak","count_LongBreak_1","count_RespTrig","count_RespTrig_1","count_RespTrig_1_1","count_RespTrig_1_2","count_RespTrig_2","count_RespTrig_3","count_StimPress","count_StimPress_1","count_StimPress_2","count_afterR","count_afterR_1","count_afterR_2","count_block_loop","count_block_loop_1","count_block_loop_2","count_block_sequence","count_block_sequence_1","count_block_sequence_2","count_blockno","count_blockno_1","count_check_res","count_check_res_1","count_check_res_2","count_end_of_experiment","count_experiment","count_experimental_loop_B","count_experimental_loop_post","count_experimental_loop_pre","count_feedback","count_feedback_1","count_feedback_2","count_fix","count_fix_1","count_fix_2","count_iKinGazeCtrl_CONFIG","count_icub_avoiding_gaze","count_icub_avoiding_gaze_1","count_icub_avoiding_gaze_2","count_icub_close_eyes","count_icub_close_eyes_1","count_icub_close_eyes_2","count_icub_end","count_icub_findLandmarks","count_icub_findLandmarks_1","count_icub_findLandmarks_2","count_icub_helper","count_icub_look_left","count_icub_look_left_1","count_icub_look_left_2","count_icub_look_right","count_icub_look_right_1","count_icub_look_right_2","count_icub_mutual_gaze","count_icub_mutual_gaze_1","count_icub_mutual_gaze_2","count_icub_open_eyes","count_icub_open_eyes_1","count_icub_open_eyes_2","count_icub_waitmutual_gaze","count_icub_waitmutual_gaze_1","count_icub_waitmutual_gaze_2","count_instructions","count_logger","count_logger_1","count_logger_2","count_new_form_multiple_choice","count_new_inline_script","count_notes","count_reset_feedback","count_reset_feedback_1","count_reset_feedback_2","count_session","count_site","count_start","count_start_1","count_start_2","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_2","count_trial_start","count_trial_start_1","count_trial_start_2","count_wait_soa","count_wait_soa_1","count_wait_soa_2","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","gazeCond","gazeDirO","gazeDirR","gazeDirTrig","height","icub_closing_eyes","icub_frontal_angles","icub_frontal_gaze_duration","icub_lateral_gaze_duration","icub_opening_eyes","keyboard_backend","landmarks","landmarks_valid","letterCode","letterL","letterR","live_row","live_row_block_loop","live_row_experimental_loop_pre","logfile","mouse_backend","opening_eyes_invalid","opensesame_codename","opensesame_version","repeat_cycle","response","response_LongBreak","response_LongBreak_1","response_end_of_experiment","response_feedback","response_feedback_1","response_feedback_2","response_instructions","response_time","response_time_LongBreak","response_time_LongBreak_1","response_time_end_of_experiment","response_time_feedback","response_time_feedback_1","response_time_feedback_2","response_time_instructions","round_decimals","sampler_backend","soa","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","start_time","stim_presentation_after","subject_nr","subject_parity","tgtPos","tgtPosCode","tgtTrig","time_CONDITIONS","time_CONFIG","time_LongBreak","time_LongBreak_1","time_RespTrig","time_RespTrig_1","time_RespTrig_1_1","time_RespTrig_1_2","time_RespTrig_2","time_RespTrig_3","time_StimPress","time_StimPress_1","time_StimPress_2","time_afterR","time_afterR_1","time_afterR_2","time_avoiding_gaze","time_block_loop","time_block_loop_1","time_block_loop_2","time_block_sequence","time_block_sequence_1","time_block_sequence_2","time_blockno","time_blockno_1","time_check_res","time_check_res_1","time_check_res_2","time_closing_eyes","time_end_of_experiment","time_experiment","time_experimental_loop_B","time_experimental_loop_post","time_experimental_loop_pre","time_feedback","time_feedback_1","time_feedback_2","time_fix","time_fix_1","time_fix_2","time_iKinGazeCtrl_CONFIG","time_icub_avoiding_gaze","time_icub_avoiding_gaze_1","time_icub_avoiding_gaze_2","time_icub_close_eyes","time_icub_close_eyes_1","time_icub_close_eyes_2","time_icub_end","time_icub_findLandmarks","time_icub_findLandmarks_1","time_icub_findLandmarks_2","time_icub_helper","time_icub_look_left","time_icub_look_left_1","time_icub_look_left_2","time_icub_look_right","time_icub_look_right_1","time_icub_look_right_2","time_icub_mutual_gaze","time_icub_mutual_gaze_1","time_icub_mutual_gaze_2","time_icub_open_eyes","time_icub_open_eyes_1","time_icub_open_eyes_2","time_icub_waitmutual_gaze","time_icub_waitmutual_gaze_1","time_icub_waitmutual_gaze_2","time_instructions","time_logger","time_logger_1","time_logger_2","time_mutual_gaze","time_new_form_multiple_choice","time_new_inline_script","time_notes","time_opening_eyes","time_reset_feedback","time_reset_feedback_1","time_reset_feedback_2","time_session","time_site","time_start","time_start_1","time_start_2","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_2","time_trial_start","time_trial_start_1","time_trial_start_2","time_wait_soa","time_wait_soa_1","time_wait_soa_2","title","total_correct","total_response_time","total_responses","trial_start_ts","uniform_coordinates","valTrig","validity","width"
"1","NA","1","2","PFC","1","0","100","100","288","288","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","0","0","NA","NA","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","0","NA","NA","0","0","NA","NA","0","NA","NA","NA","0","NA","NA","0","0","NA","NA","0","NA","NA","0","0","NA","NA","0","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","0","NA","NA","NA","NA","0","0","NA","NA","0","0","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","Tue Nov 23 14:20:00 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","2","yes","avoiding","left","right","21","1080","501.32736999876215","[-0.03441547373880388, -23.978724857474564, 3.3798493431396497]","327.2489509981824","481.2474169993948","470.19263800029876","legacy","None","0","1","","T","0","0","0","/home/docky/apps/exp/data/session2/subject-27b.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","288","NA","NA","NA","NA","NA","NA","860439","2","legacy","1000","1024","2","48000","-16","experiment","872429","6006","27","odd","right","2","52","866148","5370","NA","NA","872429","872629","NA","NA","NA","NA","872428","NA","NA","872629","NA","NA","2000","866164","NA","NA","866164","NA","NA","866164","NA","872717","NA","NA","2000","NA","704","NA","NA","866161","NA","NA","NA","866433","NA","NA","866149","868933","NA","NA","866433","NA","NA","NA","868933","NA","NA","5370","NA","NA","NA","871259","NA","NA","NA","NA","NA","868433","NA","NA","869259","NA","NA","5709","872718","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","866428","NA","NA","866423","NA","NA","866423","NA","NA","871407","NA","NA","Extended template","1","288","1","866423","yes","42","invalid","3840"
"1","NA","1","2","PFC","1","0","100","100","363","363","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","1","1","NA","NA","NA","NA","1","NA","NA","1","NA","NA","0","NA","NA","0","NA","NA","0","NA","1","NA","NA","0","0","NA","NA","0","NA","NA","NA","1","NA","NA","0","1","NA","NA","1","NA","NA","0","1","NA","NA","0","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","0","1","NA","NA","NA","NA","0","0","NA","NA","0","0","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","Tue Nov 23 14:20:00 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","2","yes","avoiding","left","right","21","1080","501.49322700235643","[0.000824990534912458, -23.97739314204417, 3.3777861670473417]","317.1419579994108","490.97353700199164","469.956891000038","legacy","None","0","1","T","","1","1","0","/home/docky/apps/exp/data/session2/subject-27b.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","438","NA","NA","NA","NA","NA","NA","860439","2","legacy","1000","1024","2","48000","-16","experiment","879054","5986","27","odd","left","1","51","866148","5370","NA","NA","879054","879255","NA","NA","NA","NA","879054","NA","NA","879255","NA","NA","2000","866164","NA","NA","866164","NA","NA","866164","NA","879492","NA","NA","2000","NA","704","NA","NA","866161","NA","NA","NA","873078","NA","NA","866149","875579","NA","NA","873078","NA","NA","NA","875579","NA","NA","5370","NA","NA","NA","877896","NA","NA","NA","NA","NA","875078","NA","NA","875896","NA","NA","5709","879493","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","873073","NA","NA","873068","NA","NA","873068","NA","NA","878032","NA","NA","Extended template","2","726","2","873068","yes","41","valid","3840"
"1","NA","1","2","PFC","1","0","100","100","364","364","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","2","2","NA","NA","NA","NA","2","NA","NA","2","NA","NA","0","NA","NA","0","NA","NA","0","NA","2","NA","NA","0","0","NA","NA","0","NA","NA","NA","2","NA","NA","0","2","NA","NA","2","NA","NA","0","2","NA","NA","0","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","0","2","NA","NA","NA","NA","0","0","NA","NA","0","0","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","Tue Nov 23 14:20:00 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","2","yes","avoiding","left","right","21","1080","501.5887029985606","[0.007301060949346522, -23.954163551039233, 3.37821294433328]","337.56671700029983","460.82539100098074","470.11230000134674","legacy","None","0","1","","T","2","2","0","/home/docky/apps/exp/data/session2/subject-27b.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","366","NA","NA","NA","NA","NA","NA","860439","2","legacy","1000","1024","2","48000","-16","experiment","885798","5984","27","odd","right","2","52","866148","5370","NA","NA","885798","885997","NA","NA","NA","NA","885797","NA","NA","885997","NA","NA","2000","866164","NA","NA","866164","NA","NA","866164","NA","886164","NA","NA","2000","NA","704","NA","NA","866161","NA","NA","NA","879825","NA","NA","866149","882321","NA","NA","879825","NA","NA","NA","882321","NA","NA","5370","NA","NA","NA","884660","NA","NA","NA","NA","NA","881823","NA","NA","882660","NA","NA","5709","886165","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","879820","NA","NA","879814","NA","NA","879814","NA","NA","884776","NA","NA","Extended template","3","1092","3","879814","yes","42","invalid","3840"
"1","NA","1","2","PFC","1","0","75","75","375","375","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","0","undefined","v","0","0","NA","NA","3","3","NA","NA","NA","NA","3","NA","NA","3","NA","NA","0","NA","NA","0","NA","NA","0","NA","3","NA","NA","0","0","NA","NA","0","NA","NA","NA","3","NA","NA","0","3","NA","NA","3","NA","NA","0","3","NA","NA","0","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","0","3","NA","NA","NA","NA","0","0","NA","NA","0","0","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","Tue Nov 23 14:20:00 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","2","yes","avoiding","left","right","21","1080","500.90985000133514","[0.007258406262022014, -23.97742710254093, 3.3781981157971686]","337.2607820019766","480.66580099839484","469.69260799960466","legacy","None","0","2","V","","3","3","0","/home/docky/apps/exp/data/session2/subject-27b.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","408","NA","NA","NA","NA","NA","NA","860439","2","legacy","1000","1024","2","48000","-16","experiment","892485","6006","27","odd","left","1","61","866148","5370","NA","NA","892485","892685","NA","NA","NA","NA","892484","NA","NA","892685","NA","NA","2000","866164","NA","NA","866164","NA","NA","866164","NA","892893","NA","NA","2000","NA","704","NA","NA","866161","NA","NA","NA","886490","NA","NA","866149","888992","NA","NA","886490","NA","NA","NA","888992","NA","NA","5370","NA","NA","NA","891328","NA","NA","NA","NA","NA","888491","NA","NA","889328","NA","NA","5709","892894","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","886484","NA","NA","886479","NA","NA","886479","NA","NA","891465","NA","NA","Extended template","3","1500","4","886479","yes","41","valid","3840"
"1","NA","1","2","PFC","1","0","80","80","387","387","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","4","4","NA","NA","NA","NA","4","NA","NA","4","NA","NA","0","NA","NA","0","NA","NA","0","NA","4","NA","NA","0","0","NA","NA","0","NA","NA","NA","4","NA","NA","0","4","NA","NA","4","NA","NA","0","4","NA","NA","0","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","0","4","NA","NA","NA","NA","0","0","NA","NA","0","0","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","Tue Nov 23 14:20:00 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","2","yes","avoiding","right","left","22","1080","501.6846459984663","[0.007258399425594985, -23.97743083047085, 3.3781981134225476]","296.77383399757673","459.7866929980228","469.05515599792125","legacy","None","0","2","","V","4","4","0","/home/docky/apps/exp/data/session2/subject-27b.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","435","NA","NA","NA","NA","NA","NA","860439","2","legacy","1000","1024","2","48000","-16","experiment","899162","5955","27","odd","right","2","62","866148","5370","NA","NA","899162","899362","NA","NA","NA","NA","899162","NA","NA","899362","NA","NA","2000","866164","NA","NA","866164","NA","NA","866164","NA","899597","NA","NA","2000","NA","704","NA","NA","866161","NA","NA","NA","893218","NA","NA","866149","895718","NA","NA","893218","NA","NA","NA","895718","NA","NA","5370","898014","NA","NA","891328","NA","NA","NA","NA","NA","895218","NA","NA","896014","NA","NA","5709","899598","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","893212","NA","NA","893207","NA","NA","893207","NA","NA","898141","NA","NA","Extended template","4","1935","5","893207","yes","41","valid","3840"
"1","NA","1","2","PFC","1","0","83.33333333333333","83.33333333333333","415.8333333333333","415.8333333333333","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","5","5","NA","NA","NA","NA","5","NA","NA","5","NA","NA","0","NA","NA","0","NA","NA","0","NA","5","NA","NA","0","0","NA","NA","0","NA","NA","NA","5","NA","NA","0","5","NA","NA","5","NA","NA","0","5","NA","NA","0","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","0","5","NA","NA","NA","NA","0","0","NA","NA","0","0","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","Tue Nov 23 14:20:00 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","2","yes","avoiding","right","left","22","1080","500.89125899830833","[-0.01672478290634739, -23.91295509630761, 3.380304791167536]","306.21047300155624","460.55740699739545","460.02736200171057","legacy","None","0","2","","V","5","5","0","/home/docky/apps/exp/data/session2/subject-27b.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","560","NA","NA","NA","NA","NA","NA","860439","2","legacy","1000","1024","2","48000","-16","experiment","905876","5964","27","odd","right","2","62","866148","5370","NA","NA","905876","906076","NA","NA","NA","NA","905876","NA","NA","906076","NA","NA","2000","866164","NA","NA","866164","NA","NA","866164","NA","906437","NA","NA","2000","NA","704","NA","NA","866161","NA","NA","NA","899922","NA","NA","866149","902419","NA","NA","899922","NA","NA","NA","902419","NA","NA","5370","904726","NA","NA","891328","NA","NA","NA","NA","NA","901921","NA","NA","902726","NA","NA","5709","906437","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","899917","NA","NA","899912","NA","NA","899912","NA","NA","904854","NA","NA","Extended template","5","2495","6","899912","yes","41","valid","3840"
"1","NA","1","2","PFC","1","0","85.71428571428571","85.71428571428571","417","417","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","6","6","NA","NA","NA","NA","6","NA","NA","6","NA","NA","0","NA","NA","0","NA","NA","0","NA","6","NA","NA","0","0","NA","NA","0","NA","NA","NA","6","NA","NA","0","6","NA","NA","6","NA","NA","0","6","NA","NA","0","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","0","6","NA","NA","NA","NA","0","0","NA","NA","0","0","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","Tue Nov 23 14:20:00 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","2","yes","avoiding","right","left","22","1080","500.915361000807","[0.007258287963894772, -23.977491610939047, 3.3781980747064124]","297.15656800181023","480.499454002711","459.51248300116276","legacy","None","0","2","V","","6","6","0","/home/docky/apps/exp/data/session2/subject-27b.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","424","NA","NA","NA","NA","NA","NA","860439","2","legacy","1000","1024","2","48000","-16","experiment","912708","5964","27","odd","left","1","61","866148","5370","NA","NA","912708","912908","NA","NA","NA","NA","912708","NA","NA","912908","NA","NA","2000","866164","NA","NA","866164","NA","NA","866164","NA","913132","NA","NA","2000","NA","704","NA","NA","866161","NA","NA","NA","906755","NA","NA","866149","909252","NA","NA","906755","NA","NA","NA","909252","NA","NA","5370","911550","NA","NA","891328","NA","NA","NA","NA","NA","908754","NA","NA","909550","NA","NA","5709","913133","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","906750","NA","NA","906744","NA","NA","906744","NA","NA","911687","NA","NA","Extended template","6","2919","7","906744","yes","42","invalid","3840"
"1","NA","1","2","PFC","1","0","87.5","87.5","420.625","420.625","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","7","7","NA","NA","NA","NA","7","NA","NA","7","NA","NA","0","NA","NA","0","NA","NA","0","NA","7","NA","NA","0","0","NA","NA","0","NA","NA","NA","7","NA","NA","0","7","NA","NA","7","NA","NA","0","7","NA","NA","0","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","0","7","NA","NA","NA","NA","0","0","NA","NA","0","0","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","Tue Nov 23 14:20:00 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","2","yes","avoiding","left","right","21","1080","501.54411499897833","[-0.010716820925479556, -23.975138884338705, 3.3802664060201053]","307.2641399994609","460.01942200018675","470.3098719983245","legacy","None","0","2","","V","7","7","0","/home/docky/apps/exp/data/session2/subject-27b.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","446","NA","NA","NA","NA","NA","NA","860439","2","legacy","1000","1024","2","48000","-16","experiment","919423","5976","27","odd","right","2","62","866148","5370","NA","NA","919423","919623","NA","NA","NA","NA","919422","NA","NA","919623","NA","NA","2000","866164","NA","NA","866164","NA","NA","866164","NA","919869","NA","NA","2000","NA","704","NA","NA","866161","NA","NA","NA","913457","NA","NA","866149","915958","NA","NA","913457","NA","NA","NA","915958","NA","NA","5370","911550","NA","NA","918264","NA","NA","NA","NA","NA","915458","NA","NA","916264","NA","NA","5709","919870","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","913452","NA","NA","913447","NA","NA","913447","NA","NA","918402","NA","NA","Extended template","7","3365","8","913447","yes","42","invalid","3840"
"1","NA","1","2","PFC","1","0","88.88888888888889","88.88888888888889","415.44444444444446","415.44444444444446","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","8","8","NA","NA","NA","NA","8","NA","NA","8","NA","NA","0","NA","NA","0","NA","NA","0","NA","8","NA","NA","0","0","NA","NA","0","NA","NA","NA","8","NA","NA","0","8","NA","NA","8","NA","NA","0","8","NA","NA","0","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","0","8","NA","NA","NA","NA","0","0","NA","NA","0","0","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","Tue Nov 23 14:20:00 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","2","yes","avoiding","right","left","22","1080","500.9272979987145","[0.0137094507852105, -23.977688914074598, 3.3781978872832594]","317.26278200221714","480.8477190017584","469.3770640005823","legacy","None","0","1","T","","8","8","0","/home/docky/apps/exp/data/session2/subject-27b.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","374","NA","NA","NA","NA","NA","NA","860439","2","legacy","1000","1024","2","48000","-16","experiment","926183","5999","27","odd","left","1","51","866148","5370","NA","NA","926183","926383","NA","NA","NA","NA","926183","NA","NA","926383","NA","NA","2000","866164","NA","NA","866164","NA","NA","866164","NA","926557","NA","NA","2000","NA","704","NA","NA","866161","NA","NA","NA","920194","NA","NA","866149","922696","NA","NA","920195","NA","NA","NA","922696","NA","NA","5370","925013","NA","NA","918264","NA","NA","NA","NA","NA","922196","NA","NA","923012","NA","NA","5709","926558","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","920189","NA","NA","920184","NA","NA","920184","NA","NA","925161","NA","NA","Extended template","8","3739","9","920184","yes","42","invalid","3840"
"1","NA","1","2","PFC","1","0","90","90","417.2","417.2","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","9","9","NA","NA","NA","NA","9","NA","NA","9","NA","NA","0","NA","NA","0","NA","NA","0","NA","9","NA","NA","0","0","NA","NA","0","NA","NA","NA","9","NA","NA","0","9","NA","NA","9","NA","NA","0","9","NA","NA","0","9","NA","NA","9","NA","NA","9","NA","NA","9","NA","NA","9","NA","NA","0","9","NA","NA","NA","NA","0","0","NA","NA","0","0","9","NA","NA","9","NA","NA","9","NA","NA","9","NA","NA","Tue Nov 23 14:20:00 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","2","yes","avoiding","left","right","21","1080","501.17830900126137","[-0.005375466920140404, -23.803781864535306, 3.3799591719864375]","327.3937330013723","470.58573300091666","469.51171700129635","legacy","None","0","2","","V","9","9","0","/home/docky/apps/exp/data/session2/subject-27b.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","433","NA","NA","NA","NA","NA","NA","860439","2","legacy","1000","1024","2","48000","-16","experiment","932867","5996","27","odd","right","2","62","866148","5370","NA","NA","932867","933067","NA","NA","NA","NA","932866","NA","NA","933067","NA","NA","2000","866164","NA","NA","866164","NA","NA","866164","NA","933300","NA","NA","2000","NA","704","NA","NA","866161","NA","NA","NA","926882","NA","NA","866149","929378","NA","NA","926882","NA","NA","NA","929378","NA","NA","5370","925013","NA","NA","931707","NA","NA","NA","NA","NA","928880","NA","NA","929707","NA","NA","5709","933301","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","926876","NA","NA","926871","NA","NA","926871","NA","NA","931845","NA","NA","Extended template","9","4172","10","926871","yes","42","invalid","3840"
